; Number of ROIs: 2
; File Dimension: 507 x 624
;
; ROI name: water
; ROI rgb value: {72, 72, 255}
; ROI npts: 4335
;
; ROI name: land
; ROI rgb value: {255, 206, 116}
; ROI npts: 3300
;
; File X, File Y, Map X, Map Y, Lat, Lon, B1, B2, B3, B4
;
 6384,  7134,  763800.0000,  2628660.0000,  23.74739095,  119.58799462,  509,  490,  185,  111
 6385,  7134,  763810.0000,  2628660.0000,  23.74738931,  119.58809264,  519,  492,  173,  111
 6386,  7134,  763820.0000,  2628660.0000,  23.74738766,  119.58819067,  496,  466,  173,  111
 6387,  7134,  763830.0000,  2628660.0000,  23.74738602,  119.58828870,  455,  411,  164,  106
 6388,  7134,  763840.0000,  2628660.0000,  23.74738438,  119.58838672,  444,  373,  161,  103
 6389,  7134,  763850.0000,  2628660.0000,  23.74738274,  119.58848475,  431,  370,  168,  102
 6390,  7134,  763860.0000,  2628660.0000,  23.74738109,  119.58858277,  415,  368,  168,  104
 6391,  7134,  763870.0000,  2628660.0000,  23.74737945,  119.58868080,  413,  385,  180,  101
 6392,  7134,  763880.0000,  2628660.0000,  23.74737781,  119.58877883,  422,  368,  179,  108
 6393,  7134,  763890.0000,  2628660.0000,  23.74737616,  119.58887685,  442,  365,  168,  116
 6394,  7134,  763900.0000,  2628660.0000,  23.74737452,  119.58897488,  438,  365,  164,  107
 6395,  7134,  763910.0000,  2628660.0000,  23.74737288,  119.58907291,  448,  372,  167,  113
 6396,  7134,  763920.0000,  2628660.0000,  23.74737124,  119.58917093,  435,  377,  159,  116
 6397,  7134,  763930.0000,  2628660.0000,  23.74736959,  119.58926896,  406,  362,  157,  106
 6398,  7134,  763940.0000,  2628660.0000,  23.74736795,  119.58936699,  419,  361,  150,  104
 6399,  7134,  763950.0000,  2628660.0000,  23.74736631,  119.58946501,  408,  361,  159,  115
 6400,  7134,  763960.0000,  2628660.0000,  23.74736466,  119.58956304,  395,  347,  162,  103
 6401,  7134,  763970.0000,  2628660.0000,  23.74736302,  119.58966107,  392,  351,  155,  104
 6402,  7134,  763980.0000,  2628660.0000,  23.74736137,  119.58975909,  389,  354,  150,  112
 6403,  7134,  763990.0000,  2628660.0000,  23.74735973,  119.58985712,  405,  353,  149,  116
 6404,  7134,  764000.0000,  2628660.0000,  23.74735809,  119.58995515,  408,  349,  147,  110
 6405,  7134,  764010.0000,  2628660.0000,  23.74735644,  119.59005317,  387,  346,  164,  107
 6406,  7134,  764020.0000,  2628660.0000,  23.74735480,  119.59015120,  377,  313,  170,  112
 6407,  7134,  764030.0000,  2628660.0000,  23.74735316,  119.59024922,  395,  314,  161,   97
 6408,  7134,  764040.0000,  2628660.0000,  23.74735151,  119.59034725,  402,  325,  157,   90
 6409,  7134,  764050.0000,  2628660.0000,  23.74734987,  119.59044528,  390,  337,  159,  111
 6410,  7134,  764060.0000,  2628660.0000,  23.74734822,  119.59054330,  384,  322,  147,  104
 6411,  7134,  764070.0000,  2628660.0000,  23.74734658,  119.59064133,  383,  326,  162,  103
 6412,  7134,  764080.0000,  2628660.0000,  23.74734494,  119.59073936,  403,  335,  161,  110
 6413,  7134,  764090.0000,  2628660.0000,  23.74734329,  119.59083738,  378,  320,  153,  102
 6414,  7134,  764100.0000,  2628660.0000,  23.74734165,  119.59093541,  364,  334,  159,  102
 6415,  7134,  764110.0000,  2628660.0000,  23.74734000,  119.59103343,  408,  353,  156,   95
 6416,  7134,  764120.0000,  2628660.0000,  23.74733836,  119.59113146,  406,  334,  158,   92
 6417,  7134,  764130.0000,  2628660.0000,  23.74733671,  119.59122949,  395,  316,  157,   97
 6418,  7134,  764140.0000,  2628660.0000,  23.74733507,  119.59132751,  387,  326,  158,  107
 6419,  7134,  764150.0000,  2628660.0000,  23.74733343,  119.59142554,  360,  323,  166,  100
 6420,  7134,  764160.0000,  2628660.0000,  23.74733178,  119.59152357,  371,  323,  162,   94
 6421,  7134,  764170.0000,  2628660.0000,  23.74733014,  119.59162159,  375,  321,  156,  107
 6422,  7134,  764180.0000,  2628660.0000,  23.74732849,  119.59171962,  392,  336,  161,  105
 6423,  7134,  764190.0000,  2628660.0000,  23.74732685,  119.59181764,  397,  309,  159,   99
 6424,  7134,  764200.0000,  2628660.0000,  23.74732520,  119.59191567,  386,  298,  156,   99
 6425,  7134,  764210.0000,  2628660.0000,  23.74732356,  119.59201370,  394,  329,  160,   95
 6426,  7134,  764220.0000,  2628660.0000,  23.74732191,  119.59211172,  403,  336,  152,  103
 6427,  7134,  764230.0000,  2628660.0000,  23.74732027,  119.59220975,  378,  315,  148,   94
 6428,  7134,  764240.0000,  2628660.0000,  23.74731862,  119.59230778,  363,  301,  148,  103
 6429,  7134,  764250.0000,  2628660.0000,  23.74731698,  119.59240580,  365,  333,  153,  101
 6430,  7134,  764260.0000,  2628660.0000,  23.74731533,  119.59250383,  373,  325,  150,   94
 6431,  7134,  764270.0000,  2628660.0000,  23.74731369,  119.59260185,  372,  309,  139,   93
 6432,  7134,  764280.0000,  2628660.0000,  23.74731204,  119.59269988,  339,  288,  139,   96
 6433,  7134,  764290.0000,  2628660.0000,  23.74731039,  119.59279791,  356,  282,  134,   92
 6434,  7134,  764300.0000,  2628660.0000,  23.74730875,  119.59289593,  372,  300,  134,   88
 6435,  7134,  764310.0000,  2628660.0000,  23.74730710,  119.59299396,  384,  329,  136,   95
 6436,  7134,  764320.0000,  2628660.0000,  23.74730546,  119.59309198,  392,  330,  150,   93
 6437,  7134,  764330.0000,  2628660.0000,  23.74730381,  119.59319001,  397,  341,  151,   93
 6438,  7134,  764340.0000,  2628660.0000,  23.74730217,  119.59328804,  362,  329,  143,  100
 6439,  7134,  764350.0000,  2628660.0000,  23.74730052,  119.59338606,  351,  296,  140,   92
 6440,  7134,  764360.0000,  2628660.0000,  23.74729887,  119.59348409,  382,  322,  124,   90
 6441,  7134,  764370.0000,  2628660.0000,  23.74729723,  119.59358212,  393,  325,  127,   80
 6442,  7134,  764380.0000,  2628660.0000,  23.74729558,  119.59368014,  390,  333,  130,   90
 6443,  7134,  764390.0000,  2628660.0000,  23.74729394,  119.59377817,  377,  345,  143,   84
 6444,  7134,  764400.0000,  2628660.0000,  23.74729229,  119.59387619,  357,  321,  136,   83
 6445,  7134,  764410.0000,  2628660.0000,  23.74729064,  119.59397422,  375,  307,  121,   82
 6446,  7134,  764420.0000,  2628660.0000,  23.74728900,  119.59407225,  355,  319,  123,   81
 6447,  7134,  764430.0000,  2628660.0000,  23.74728735,  119.59417027,  341,  309,  126,   91
 6448,  7134,  764440.0000,  2628660.0000,  23.74728570,  119.59426830,  375,  292,  125,   91
 6449,  7134,  764450.0000,  2628660.0000,  23.74728406,  119.59436632,  381,  306,  131,   97
 6450,  7134,  764460.0000,  2628660.0000,  23.74728241,  119.59446435,  391,  326,  117,   87
 6451,  7134,  764470.0000,  2628660.0000,  23.74728077,  119.59456238,  367,  321,  139,   83
 6452,  7134,  764480.0000,  2628660.0000,  23.74727912,  119.59466040,  372,  314,  125,   89
 6453,  7134,  764490.0000,  2628660.0000,  23.74727747,  119.59475843,  382,  313,  119,   91
 6454,  7134,  764500.0000,  2628660.0000,  23.74727582,  119.59485645,  363,  338,  115,   93
 6455,  7134,  764510.0000,  2628660.0000,  23.74727418,  119.59495448,  368,  326,  112,   92
 6456,  7134,  764520.0000,  2628660.0000,  23.74727253,  119.59505251,  366,  312,  138,   87
 6457,  7134,  764530.0000,  2628660.0000,  23.74727088,  119.59515053,  365,  308,  121,   76
 6458,  7134,  764540.0000,  2628660.0000,  23.74726924,  119.59524856,  359,  307,  123,   84
 6459,  7134,  764550.0000,  2628660.0000,  23.74726759,  119.59534658,  341,  297,  121,   83
 6460,  7134,  764560.0000,  2628660.0000,  23.74726594,  119.59544461,  363,  307,  128,   77
 6461,  7134,  764570.0000,  2628660.0000,  23.74726430,  119.59554263,  367,  318,  133,   83
 6462,  7134,  764580.0000,  2628660.0000,  23.74726265,  119.59564066,  366,  311,  116,   70
 6463,  7134,  764590.0000,  2628660.0000,  23.74726100,  119.59573869,  365,  310,  126,   77
 6464,  7134,  764600.0000,  2628660.0000,  23.74725935,  119.59583671,  382,  335,  116,   68
 6465,  7134,  764610.0000,  2628660.0000,  23.74725771,  119.59593474,  404,  333,  118,   79
 6466,  7134,  764620.0000,  2628660.0000,  23.74725606,  119.59603276,  364,  326,  112,   90
 6467,  7134,  764630.0000,  2628660.0000,  23.74725441,  119.59613079,  369,  324,  111,   77
 6468,  7134,  764640.0000,  2628660.0000,  23.74725276,  119.59622882,  389,  307,  123,   71
 6384,  7135,  763800.0000,  2628650.0000,  23.74730072,  119.58799283,  522,  493,  171,  105
 6385,  7135,  763810.0000,  2628650.0000,  23.74729907,  119.58809086,  502,  477,  182,  113
 6386,  7135,  763820.0000,  2628650.0000,  23.74729743,  119.58818888,  504,  488,  183,  112
 6387,  7135,  763830.0000,  2628650.0000,  23.74729579,  119.58828691,  476,  455,  163,  103
 6388,  7135,  763840.0000,  2628650.0000,  23.74729415,  119.58838494,  435,  404,  154,  107
 6389,  7135,  763850.0000,  2628650.0000,  23.74729250,  119.58848296,  422,  381,  183,  107
 6390,  7135,  763860.0000,  2628650.0000,  23.74729086,  119.58858099,  402,  369,  174,  103
 6391,  7135,  763870.0000,  2628650.0000,  23.74728922,  119.58867902,  407,  380,  167,   99
 6392,  7135,  763880.0000,  2628650.0000,  23.74728757,  119.58877704,  428,  359,  164,  117
 6393,  7135,  763890.0000,  2628650.0000,  23.74728593,  119.58887507,  420,  340,  172,  121
 6394,  7135,  763900.0000,  2628650.0000,  23.74728429,  119.58897310,  417,  339,  169,  102
 6395,  7135,  763910.0000,  2628650.0000,  23.74728265,  119.58907112,  421,  347,  164,  111
 6396,  7135,  763920.0000,  2628650.0000,  23.74728100,  119.58916915,  401,  353,  176,  121
 6397,  7135,  763930.0000,  2628650.0000,  23.74727936,  119.58926717,  379,  358,  171,  106
 6398,  7135,  763940.0000,  2628650.0000,  23.74727772,  119.58936520,  443,  346,  160,  108
 6399,  7135,  763950.0000,  2628650.0000,  23.74727607,  119.58946323,  436,  345,  155,  107
 6400,  7135,  763960.0000,  2628650.0000,  23.74727443,  119.58956125,  399,  353,  160,  100
 6401,  7135,  763970.0000,  2628650.0000,  23.74727279,  119.58965928,  373,  343,  174,   94
 6402,  7135,  763980.0000,  2628650.0000,  23.74727114,  119.58975731,  376,  343,  165,  102
 6403,  7135,  763990.0000,  2628650.0000,  23.74726950,  119.58985533,  395,  325,  163,  106
